,balanced,learning rate,adaptive learning,epochs,batch size,regularization,regularization parameter,accuracy
0,False,1.0,const,1.0,10.0,l1,1e-09,0.7663333333333333
1,False,1.0,const,10.0,10.0,l1,1e-09,0.7666666666666667
2,False,1.0,const,40.0,10.0,l1,1e-09,0.785
3,False,1.0,const,60.0,10.0,l1,1e-09,0.7706666666666667
4,False,1.0,const,1.0,40.0,l1,1e-09,0.797
5,False,1.0,const,10.0,40.0,l1,1e-09,0.7853333333333333
6,False,1.0,const,40.0,40.0,l1,1e-09,0.8
7,False,1.0,const,60.0,40.0,l1,1e-09,0.771
8,False,1.0,const,1.0,60.0,l1,1e-09,0.7713333333333333
9,False,1.0,const,10.0,60.0,l1,1e-09,0.7843333333333333
10,False,1.0,const,40.0,60.0,l1,1e-09,0.7746666666666666
11,False,1.0,const,60.0,60.0,l1,1e-09,0.7963333333333333
12,False,1.0,const,1.0,80.0,l1,1e-09,0.785
13,False,1.0,const,10.0,80.0,l1,1e-09,0.7713333333333333
14,False,1.0,const,40.0,80.0,l1,1e-09,0.7783333333333333
15,False,1.0,const,60.0,80.0,l1,1e-09,0.796
16,False,1.0,decay,1.0,10.0,l1,1e-09,0.7973333333333333
17,False,1.0,decay,10.0,10.0,l1,1e-09,0.7816666666666666
18,False,1.0,decay,40.0,10.0,l1,1e-09,0.777
19,False,1.0,decay,60.0,10.0,l1,1e-09,0.7833333333333333
20,False,1.0,decay,1.0,40.0,l1,1e-09,0.7763333333333333
21,False,1.0,decay,10.0,40.0,l1,1e-09,0.7806666666666666
22,False,1.0,decay,40.0,40.0,l1,1e-09,0.7823333333333333
23,False,1.0,decay,60.0,40.0,l1,1e-09,0.7803333333333333
24,False,1.0,decay,1.0,60.0,l1,1e-09,0.7716666666666666
25,False,1.0,decay,10.0,60.0,l1,1e-09,0.7786666666666666
26,False,1.0,decay,40.0,60.0,l1,1e-09,0.7873333333333333
27,False,1.0,decay,60.0,60.0,l1,1e-09,0.782
28,False,1.0,decay,1.0,80.0,l1,1e-09,0.772
29,False,1.0,decay,10.0,80.0,l1,1e-09,0.7836666666666666
30,False,1.0,decay,40.0,80.0,l1,1e-09,0.7813333333333333
31,False,1.0,decay,60.0,80.0,l1,1e-09,0.781
32,False,0.5,const,1.0,10.0,l1,1e-09,0.8023333333333333
33,False,0.5,const,10.0,10.0,l1,1e-09,0.7693333333333333
34,False,0.5,const,40.0,10.0,l1,1e-09,0.772
35,False,0.5,const,60.0,10.0,l1,1e-09,0.7786666666666666
36,False,0.5,const,1.0,40.0,l1,1e-09,0.7803333333333333
37,False,0.5,const,10.0,40.0,l1,1e-09,0.7776666666666666
38,False,0.5,const,40.0,40.0,l1,1e-09,0.7853333333333333
39,False,0.5,const,60.0,40.0,l1,1e-09,0.7783333333333333
40,False,0.5,const,1.0,60.0,l1,1e-09,0.7886666666666666
41,False,0.5,const,10.0,60.0,l1,1e-09,0.7763333333333333
42,False,0.5,const,40.0,60.0,l1,1e-09,0.79
43,False,0.5,const,60.0,60.0,l1,1e-09,0.7896666666666666
44,False,0.5,const,1.0,80.0,l1,1e-09,0.7916666666666666
45,False,0.5,const,10.0,80.0,l1,1e-09,0.7773333333333333
46,False,0.5,const,40.0,80.0,l1,1e-09,0.7923333333333333
47,False,0.5,const,60.0,80.0,l1,1e-09,0.7863333333333333
48,False,0.5,decay,1.0,10.0,l1,1e-09,0.8023333333333333
49,False,0.5,decay,10.0,10.0,l1,1e-09,0.7746666666666666
50,False,0.5,decay,40.0,10.0,l1,1e-09,0.7796666666666666
51,False,0.5,decay,60.0,10.0,l1,1e-09,0.7896666666666666
52,False,0.5,decay,1.0,40.0,l1,1e-09,0.7803333333333333
53,False,0.5,decay,10.0,40.0,l1,1e-09,0.7753333333333333
54,False,0.5,decay,40.0,40.0,l1,1e-09,0.783
55,False,0.5,decay,60.0,40.0,l1,1e-09,0.78
56,False,0.5,decay,1.0,60.0,l1,1e-09,0.7886666666666666
57,False,0.5,decay,10.0,60.0,l1,1e-09,0.7816666666666666
58,False,0.5,decay,40.0,60.0,l1,1e-09,0.7806666666666666
59,False,0.5,decay,60.0,60.0,l1,1e-09,0.7826666666666666
60,False,0.5,decay,1.0,80.0,l1,1e-09,0.7916666666666666
61,False,0.5,decay,10.0,80.0,l1,1e-09,0.7803333333333333
62,False,0.5,decay,40.0,80.0,l1,1e-09,0.7813333333333333
63,False,0.5,decay,60.0,80.0,l1,1e-09,0.7813333333333333
64,False,0.1,const,1.0,10.0,l1,1e-09,0.7893333333333333
65,False,0.1,const,10.0,10.0,l1,1e-09,0.7743333333333333
66,False,0.1,const,40.0,10.0,l1,1e-09,0.7743333333333333
67,False,0.1,const,60.0,10.0,l1,1e-09,0.7866666666666666
68,False,0.1,const,1.0,40.0,l1,1e-09,0.7696666666666667
69,False,0.1,const,10.0,40.0,l1,1e-09,0.7773333333333333
70,False,0.1,const,40.0,40.0,l1,1e-09,0.783
71,False,0.1,const,60.0,40.0,l1,1e-09,0.7813333333333333
72,False,0.1,const,1.0,60.0,l1,1e-09,0.7696666666666667
73,False,0.1,const,10.0,60.0,l1,1e-09,0.7816666666666666
74,False,0.1,const,40.0,60.0,l1,1e-09,0.783
75,False,0.1,const,60.0,60.0,l1,1e-09,0.7843333333333333
76,False,0.1,const,1.0,80.0,l1,1e-09,0.7683333333333333
77,False,0.1,const,10.0,80.0,l1,1e-09,0.7803333333333333
78,False,0.1,const,40.0,80.0,l1,1e-09,0.7853333333333333
79,False,0.1,const,60.0,80.0,l1,1e-09,0.7836666666666666
80,False,0.1,decay,1.0,10.0,l1,1e-09,0.7893333333333333
81,False,0.1,decay,10.0,10.0,l1,1e-09,0.779
82,False,0.1,decay,40.0,10.0,l1,1e-09,0.779
83,False,0.1,decay,60.0,10.0,l1,1e-09,0.789
84,False,0.1,decay,1.0,40.0,l1,1e-09,0.7696666666666667
85,False,0.1,decay,10.0,40.0,l1,1e-09,0.7783333333333333
86,False,0.1,decay,40.0,40.0,l1,1e-09,0.7836666666666666
87,False,0.1,decay,60.0,40.0,l1,1e-09,0.7803333333333333
88,False,0.1,decay,1.0,60.0,l1,1e-09,0.7696666666666667
89,False,0.1,decay,10.0,60.0,l1,1e-09,0.7786666666666666
90,False,0.1,decay,40.0,60.0,l1,1e-09,0.7806666666666666
91,False,0.1,decay,60.0,60.0,l1,1e-09,0.7823333333333333
92,False,0.1,decay,1.0,80.0,l1,1e-09,0.7683333333333333
93,False,0.1,decay,10.0,80.0,l1,1e-09,0.78
94,False,0.1,decay,40.0,80.0,l1,1e-09,0.7813333333333333
95,False,0.1,decay,60.0,80.0,l1,1e-09,0.782
96,False,0.01,const,1.0,10.0,l1,1e-09,0.7683333333333333
97,False,0.01,const,10.0,10.0,l1,1e-09,0.7793333333333333
98,False,0.01,const,40.0,10.0,l1,1e-09,0.7816666666666666
99,False,0.01,const,60.0,10.0,l1,1e-09,0.7883333333333333
100,False,0.01,const,1.0,40.0,l1,1e-09,0.768
101,False,0.01,const,10.0,40.0,l1,1e-09,0.7713333333333333
102,False,0.01,const,40.0,40.0,l1,1e-09,0.78
103,False,0.01,const,60.0,40.0,l1,1e-09,0.779
104,False,0.01,const,1.0,60.0,l1,1e-09,0.768
105,False,0.01,const,10.0,60.0,l1,1e-09,0.769
106,False,0.01,const,40.0,60.0,l1,1e-09,0.778
107,False,0.01,const,60.0,60.0,l1,1e-09,0.7793333333333333
108,False,0.01,const,1.0,80.0,l1,1e-09,0.768
109,False,0.01,const,10.0,80.0,l1,1e-09,0.7686666666666667
110,False,0.01,const,40.0,80.0,l1,1e-09,0.7743333333333333
111,False,0.01,const,60.0,80.0,l1,1e-09,0.7793333333333333
112,False,0.01,decay,1.0,10.0,l1,1e-09,0.7683333333333333
113,False,0.01,decay,10.0,10.0,l1,1e-09,0.7793333333333333
114,False,0.01,decay,40.0,10.0,l1,1e-09,0.7833333333333333
115,False,0.01,decay,60.0,10.0,l1,1e-09,0.787
116,False,0.01,decay,1.0,40.0,l1,1e-09,0.768
117,False,0.01,decay,10.0,40.0,l1,1e-09,0.7716666666666666
118,False,0.01,decay,40.0,40.0,l1,1e-09,0.7803333333333333
119,False,0.01,decay,60.0,40.0,l1,1e-09,0.7786666666666666
120,False,0.01,decay,1.0,60.0,l1,1e-09,0.768
121,False,0.01,decay,10.0,60.0,l1,1e-09,0.769
122,False,0.01,decay,40.0,60.0,l1,1e-09,0.776
123,False,0.01,decay,60.0,60.0,l1,1e-09,0.78
124,False,0.01,decay,1.0,80.0,l1,1e-09,0.768
125,False,0.01,decay,10.0,80.0,l1,1e-09,0.768
126,False,0.01,decay,40.0,80.0,l1,1e-09,0.7726666666666666
127,False,0.01,decay,60.0,80.0,l1,1e-09,0.7783333333333333
128,False,1.0,const,1.0,10.0,l1,1e-06,0.7846666666666666
129,False,1.0,const,10.0,10.0,l1,1e-06,0.7686666666666667
130,False,1.0,const,40.0,10.0,l1,1e-06,0.7706666666666667
131,False,1.0,const,60.0,10.0,l1,1e-06,0.7993333333333333
132,False,1.0,const,1.0,40.0,l1,1e-06,0.784
133,False,1.0,const,10.0,40.0,l1,1e-06,0.7866666666666666
134,False,1.0,const,40.0,40.0,l1,1e-06,0.7823333333333333
135,False,1.0,const,60.0,40.0,l1,1e-06,0.774
136,False,1.0,const,1.0,60.0,l1,1e-06,0.7803333333333333
137,False,1.0,const,10.0,60.0,l1,1e-06,0.7726666666666666
138,False,1.0,const,40.0,60.0,l1,1e-06,0.7823333333333333
139,False,1.0,const,60.0,60.0,l1,1e-06,0.7973333333333333
140,False,1.0,const,1.0,80.0,l1,1e-06,0.8006666666666666
141,False,1.0,const,10.0,80.0,l1,1e-06,0.7746666666666666
142,False,1.0,const,40.0,80.0,l1,1e-06,0.7983333333333333
143,False,1.0,const,60.0,80.0,l1,1e-06,0.7813333333333333
144,False,1.0,decay,1.0,10.0,l1,1e-06,0.7846666666666666
145,False,1.0,decay,10.0,10.0,l1,1e-06,0.774
146,False,1.0,decay,40.0,10.0,l1,1e-06,0.78
147,False,1.0,decay,60.0,10.0,l1,1e-06,0.7893333333333333
148,False,1.0,decay,1.0,40.0,l1,1e-06,0.784
149,False,1.0,decay,10.0,40.0,l1,1e-06,0.7756666666666666
150,False,1.0,decay,40.0,40.0,l1,1e-06,0.784
151,False,1.0,decay,60.0,40.0,l1,1e-06,0.7803333333333333
152,False,1.0,decay,1.0,60.0,l1,1e-06,0.7803333333333333
153,False,1.0,decay,10.0,60.0,l1,1e-06,0.7826666666666666
154,False,1.0,decay,40.0,60.0,l1,1e-06,0.78
155,False,1.0,decay,60.0,60.0,l1,1e-06,0.7836666666666666
156,False,1.0,decay,1.0,80.0,l1,1e-06,0.8006666666666666
157,False,1.0,decay,10.0,80.0,l1,1e-06,0.7796666666666666
158,False,1.0,decay,40.0,80.0,l1,1e-06,0.7823333333333333
159,False,1.0,decay,60.0,80.0,l1,1e-06,0.7823333333333333
160,False,0.5,const,1.0,10.0,l1,1e-06,0.802
161,False,0.5,const,10.0,10.0,l1,1e-06,0.7693333333333333
162,False,0.5,const,40.0,10.0,l1,1e-06,0.772
163,False,0.5,const,60.0,10.0,l1,1e-06,0.7786666666666666
164,False,0.5,const,1.0,40.0,l1,1e-06,0.7806666666666666
165,False,0.5,const,10.0,40.0,l1,1e-06,0.7776666666666666
166,False,0.5,const,40.0,40.0,l1,1e-06,0.7853333333333333
167,False,0.5,const,60.0,40.0,l1,1e-06,0.7783333333333333
168,False,0.5,const,1.0,60.0,l1,1e-06,0.7886666666666666
169,False,0.5,const,10.0,60.0,l1,1e-06,0.7763333333333333
170,False,0.5,const,40.0,60.0,l1,1e-06,0.79
171,False,0.5,const,60.0,60.0,l1,1e-06,0.7896666666666666
172,False,0.5,const,1.0,80.0,l1,1e-06,0.7916666666666666
173,False,0.5,const,10.0,80.0,l1,1e-06,0.7773333333333333
174,False,0.5,const,40.0,80.0,l1,1e-06,0.7923333333333333
175,False,0.5,const,60.0,80.0,l1,1e-06,0.7863333333333333
176,False,0.5,decay,1.0,10.0,l1,1e-06,0.802
177,False,0.5,decay,10.0,10.0,l1,1e-06,0.7746666666666666
178,False,0.5,decay,40.0,10.0,l1,1e-06,0.7796666666666666
179,False,0.5,decay,60.0,10.0,l1,1e-06,0.7896666666666666
180,False,0.5,decay,1.0,40.0,l1,1e-06,0.7806666666666666
181,False,0.5,decay,10.0,40.0,l1,1e-06,0.7753333333333333
182,False,0.5,decay,40.0,40.0,l1,1e-06,0.783
183,False,0.5,decay,60.0,40.0,l1,1e-06,0.7803333333333333
184,False,0.5,decay,1.0,60.0,l1,1e-06,0.7886666666666666
185,False,0.5,decay,10.0,60.0,l1,1e-06,0.7816666666666666
186,False,0.5,decay,40.0,60.0,l1,1e-06,0.7806666666666666
187,False,0.5,decay,60.0,60.0,l1,1e-06,0.7826666666666666
188,False,0.5,decay,1.0,80.0,l1,1e-06,0.7916666666666666
189,False,0.5,decay,10.0,80.0,l1,1e-06,0.7803333333333333
190,False,0.5,decay,40.0,80.0,l1,1e-06,0.7813333333333333
191,False,0.5,decay,60.0,80.0,l1,1e-06,0.7813333333333333
192,False,0.1,const,1.0,10.0,l1,1e-06,0.7893333333333333
193,False,0.1,const,10.0,10.0,l1,1e-06,0.7743333333333333
194,False,0.1,const,40.0,10.0,l1,1e-06,0.7743333333333333
195,False,0.1,const,60.0,10.0,l1,1e-06,0.7866666666666666
196,False,0.1,const,1.0,40.0,l1,1e-06,0.7696666666666667
197,False,0.1,const,10.0,40.0,l1,1e-06,0.7773333333333333
198,False,0.1,const,40.0,40.0,l1,1e-06,0.783
199,False,0.1,const,60.0,40.0,l1,1e-06,0.7813333333333333
200,False,0.1,const,1.0,60.0,l1,1e-06,0.7696666666666667
201,False,0.1,const,10.0,60.0,l1,1e-06,0.7816666666666666
202,False,0.1,const,40.0,60.0,l1,1e-06,0.783
203,False,0.1,const,60.0,60.0,l1,1e-06,0.7843333333333333
204,False,0.1,const,1.0,80.0,l1,1e-06,0.7683333333333333
205,False,0.1,const,10.0,80.0,l1,1e-06,0.7803333333333333
206,False,0.1,const,40.0,80.0,l1,1e-06,0.7853333333333333
207,False,0.1,const,60.0,80.0,l1,1e-06,0.7836666666666666
208,False,0.1,decay,1.0,10.0,l1,1e-06,0.7893333333333333
209,False,0.1,decay,10.0,10.0,l1,1e-06,0.779
210,False,0.1,decay,40.0,10.0,l1,1e-06,0.779
211,False,0.1,decay,60.0,10.0,l1,1e-06,0.789
212,False,0.1,decay,1.0,40.0,l1,1e-06,0.7696666666666667
213,False,0.1,decay,10.0,40.0,l1,1e-06,0.7783333333333333
214,False,0.1,decay,40.0,40.0,l1,1e-06,0.7836666666666666
215,False,0.1,decay,60.0,40.0,l1,1e-06,0.7803333333333333
216,False,0.1,decay,1.0,60.0,l1,1e-06,0.7696666666666667
217,False,0.1,decay,10.0,60.0,l1,1e-06,0.7786666666666666
218,False,0.1,decay,40.0,60.0,l1,1e-06,0.7806666666666666
219,False,0.1,decay,60.0,60.0,l1,1e-06,0.7823333333333333
220,False,0.1,decay,1.0,80.0,l1,1e-06,0.7683333333333333
