,number of layers,nodes per layer,epoch,batch size,learning rate,initial learning rate,momentum parameter,lambda,stopping tol,cost,accuracy,data set
0,3,23 : 40_tanh : 2_tanh,0,50,0.3,0.3,0.9,0.0001,0.0001,0.501237368,0.778222222,train
1,3,23 : 40_tanh : 2_tanh,0,50,0.3,0.3,0.9,0.0001,0.0001,0.497592504,0.783666667,test
2,3,23 : 40_tanh : 2_tanh,1,50,0.299102692,0.3,0.9,0.0001,0.0001,0.488706452,0.782037037,train
3,3,23 : 40_tanh : 2_tanh,1,50,0.299102692,0.3,0.9,0.0001,0.0001,0.485925641,0.786666667,test
4,3,23 : 40_tanh : 2_tanh,2,50,0.298210736,0.3,0.9,0.0001,0.0001,0.481450837,0.778740741,train
5,3,23 : 40_tanh : 2_tanh,2,50,0.298210736,0.3,0.9,0.0001,0.0001,0.477797828,0.783333333,test
6,3,23 : 40_tanh : 2_tanh,3,50,0.297324083,0.3,0.9,0.0001,0.0001,0.480448906,0.77837037,train
7,3,23 : 40_tanh : 2_tanh,3,50,0.297324083,0.3,0.9,0.0001,0.0001,0.477303875,0.783333333,test
8,3,23 : 40_tanh : 2_tanh,4,50,0.296442688,0.3,0.9,0.0001,0.0001,0.479828661,0.77837037,train
9,3,23 : 40_tanh : 2_tanh,4,50,0.296442688,0.3,0.9,0.0001,0.0001,0.476663304,0.783333333,test
10,3,23 : 40_tanh : 2_tanh,5,50,0.295566502,0.3,0.9,0.0001,0.0001,0.470123065,0.778333333,train
11,3,23 : 40_tanh : 2_tanh,5,50,0.295566502,0.3,0.9,0.0001,0.0001,0.467412337,0.783,test
12,3,23 : 40_tanh : 2_tanh,6,50,0.294695481,0.3,0.9,0.0001,0.0001,0.466114028,0.778962963,train
13,3,23 : 40_tanh : 2_tanh,6,50,0.294695481,0.3,0.9,0.0001,0.0001,0.463323854,0.784,test
14,3,23 : 40_tanh : 2_tanh,7,50,0.293829579,0.3,0.9,0.0001,0.0001,0.468539418,0.780037037,train
15,3,23 : 40_tanh : 2_tanh,7,50,0.293829579,0.3,0.9,0.0001,0.0001,0.467166857,0.786,test
16,3,23 : 40_tanh : 2_tanh,8,50,0.29296875,0.3,0.9,0.0001,0.0001,0.466683253,0.779592593,train
17,3,23 : 40_tanh : 2_tanh,8,50,0.29296875,0.3,0.9,0.0001,0.0001,0.464702835,0.784666667,test
18,3,23 : 40_tanh : 2_tanh,9,50,0.29211295,0.3,0.9,0.0001,0.0001,0.471796207,0.778296296,train
19,3,23 : 40_tanh : 2_tanh,9,50,0.29211295,0.3,0.9,0.0001,0.0001,0.467142133,0.783333333,test
20,3,23 : 40_tanh : 2_tanh,10,50,0.291262136,0.3,0.9,0.0001,0.0001,0.473893291,0.778296296,train
