,number of layers,nodes per layer,epoch,batch size,learning rate,initial learning rate,momentum parameter,lambda,stopping tol,cost,accuracy,data set
0,3,23 : 40_tanh : 2_tanh,0,50,0.4,0.4,0.9,1e-08,0.0001,0.49777989008594636,0.783074074074074,train
1,3,23 : 40_tanh : 2_tanh,0,50,0.4,0.4,0.9,1e-08,0.0001,0.4957770034632364,0.788,test
2,3,23 : 40_tanh : 2_tanh,1,50,0.39840637450199207,0.4,0.9,1e-08,0.0001,0.48857398031850685,0.7924074074074074,train
3,3,23 : 40_tanh : 2_tanh,1,50,0.39840637450199207,0.4,0.9,1e-08,0.0001,0.4858791331104805,0.7956666666666666,test
4,3,23 : 40_tanh : 2_tanh,2,50,0.39682539682539686,0.4,0.9,1e-08,0.0001,0.48826782174438316,0.7783333333333333,train
5,3,23 : 40_tanh : 2_tanh,2,50,0.39682539682539686,0.4,0.9,1e-08,0.0001,0.4827326695178749,0.7833333333333333,test
6,3,23 : 40_tanh : 2_tanh,3,50,0.3952569169960474,0.4,0.9,1e-08,0.0001,0.4761379806622767,0.7788148148148148,train
7,3,23 : 40_tanh : 2_tanh,3,50,0.3952569169960474,0.4,0.9,1e-08,0.0001,0.47113031937275224,0.7833333333333333,test
8,3,23 : 40_tanh : 2_tanh,4,50,0.3937007874015748,0.4,0.9,1e-08,0.0001,0.45810527030734194,0.7797407407407407,train
9,3,23 : 40_tanh : 2_tanh,4,50,0.3937007874015748,0.4,0.9,1e-08,0.0001,0.4548653420533275,0.785,test
10,3,23 : 40_tanh : 2_tanh,5,50,0.39215686274509803,0.4,0.9,1e-08,0.0001,0.4756750587741695,0.7784444444444445,train
11,3,23 : 40_tanh : 2_tanh,5,50,0.39215686274509803,0.4,0.9,1e-08,0.0001,0.46948606856927677,0.7833333333333333,test
12,3,23 : 40_tanh : 2_tanh,6,50,0.390625,0.4,0.9,1e-08,0.0001,0.5144502672961726,0.7782962962962963,train
13,3,23 : 40_tanh : 2_tanh,6,50,0.390625,0.4,0.9,1e-08,0.0001,0.5062230650123969,0.7833333333333333,test
14,3,23 : 40_tanh : 2_tanh,7,50,0.38910505836575876,0.4,0.9,1e-08,0.0001,0.5034067495776486,0.785,train
15,3,23 : 40_tanh : 2_tanh,7,50,0.38910505836575876,0.4,0.9,1e-08,0.0001,0.5035149089624429,0.7893333333333333,test
16,3,23 : 40_tanh : 2_tanh,8,50,0.3875968992248062,0.4,0.9,1e-08,0.0001,0.45029123632815415,0.7782962962962963,train
17,3,23 : 40_tanh : 2_tanh,8,50,0.3875968992248062,0.4,0.9,1e-08,0.0001,0.4442194035059448,0.7833333333333333,test
