,number of layers,nodes per layer,epoch,batch size,learning rate,initial learning rate,momentum parameter,lambda,stopping tol,cost,accuracy,data set
0,3,23 : 40_tanh : 2_tanh,0,50,0.05,0.05,0.9,0.0001,0.0001,0.5277968260256353,0.7782222222222223,train
1,3,23 : 40_tanh : 2_tanh,0,50,0.05,0.05,0.9,0.0001,0.0001,0.5202973036950613,0.7826666666666666,test
2,3,23 : 40_tanh : 2_tanh,1,50,0.04997501249375313,0.05,0.9,0.0001,0.0001,0.5248387983653513,0.7782222222222223,train
3,3,23 : 40_tanh : 2_tanh,1,50,0.04997501249375313,0.05,0.9,0.0001,0.0001,0.5178845653508135,0.783,test
4,3,23 : 40_tanh : 2_tanh,2,50,0.04995004995004996,0.05,0.9,0.0001,0.0001,0.5226318982442855,0.7782222222222223,train
5,3,23 : 40_tanh : 2_tanh,2,50,0.04995004995004996,0.05,0.9,0.0001,0.0001,0.515935858786911,0.783,test
6,3,23 : 40_tanh : 2_tanh,3,50,0.04992511233150274,0.05,0.9,0.0001,0.0001,0.5205418890074371,0.7782962962962963,train
7,3,23 : 40_tanh : 2_tanh,3,50,0.04992511233150274,0.05,0.9,0.0001,0.0001,0.5141640282136752,0.783,test
8,3,23 : 40_tanh : 2_tanh,4,50,0.0499001996007984,0.05,0.9,0.0001,0.0001,0.5189890561510089,0.7782962962962963,train
9,3,23 : 40_tanh : 2_tanh,4,50,0.0499001996007984,0.05,0.9,0.0001,0.0001,0.5127351171088675,0.7833333333333333,test
10,3,23 : 40_tanh : 2_tanh,5,50,0.04987531172069826,0.05,0.9,0.0001,0.0001,0.5178484370912921,0.7782962962962963,train
11,3,23 : 40_tanh : 2_tanh,5,50,0.04987531172069826,0.05,0.9,0.0001,0.0001,0.5117082730876161,0.7833333333333333,test
12,3,23 : 40_tanh : 2_tanh,6,50,0.04985044865403789,0.05,0.9,0.0001,0.0001,0.5164871079286414,0.7782962962962963,train
13,3,23 : 40_tanh : 2_tanh,6,50,0.04985044865403789,0.05,0.9,0.0001,0.0001,0.5105658131256087,0.7833333333333333,test
14,3,23 : 40_tanh : 2_tanh,7,50,0.04982561036372696,0.05,0.9,0.0001,0.0001,0.515786254291134,0.7782962962962963,train
15,3,23 : 40_tanh : 2_tanh,7,50,0.04982561036372696,0.05,0.9,0.0001,0.0001,0.5100089766388468,0.7833333333333333,test
16,3,23 : 40_tanh : 2_tanh,8,50,0.04980079681274901,0.05,0.9,0.0001,0.0001,0.5153462542729814,0.7782962962962963,train
17,3,23 : 40_tanh : 2_tanh,8,50,0.04980079681274901,0.05,0.9,0.0001,0.0001,0.5095117340968325,0.7833333333333333,test
