,number of layers,nodes per layer,epoch,batch size,learning rate,initial learning rate,momentum parameter,lambda,stopping tol,cost,accuracy,data set
0,3,23 : 40_tanh : 2_tanh,0,50,0.01,0.01,0.9,0.0001,0.0001,0.6359426442090221,0.6117777777777778,train
1,3,23 : 40_tanh : 2_tanh,0,50,0.01,0.01,0.9,0.0001,0.0001,0.6339027922589394,0.612,test
2,3,23 : 40_tanh : 2_tanh,1,50,0.009999000099990002,0.01,0.9,0.0001,0.0001,0.5898208662377888,0.7211111111111111,train
3,3,23 : 40_tanh : 2_tanh,1,50,0.009999000099990002,0.01,0.9,0.0001,0.0001,0.5867578499985908,0.7276666666666667,test
4,3,23 : 40_tanh : 2_tanh,2,50,0.009998000399920017,0.01,0.9,0.0001,0.0001,0.5629208194136336,0.7697777777777778,train
5,3,23 : 40_tanh : 2_tanh,2,50,0.009998000399920017,0.01,0.9,0.0001,0.0001,0.5591356017312475,0.774,test
6,3,23 : 40_tanh : 2_tanh,3,50,0.009997000899730081,0.01,0.9,0.0001,0.0001,0.5470653307333615,0.7767407407407407,train
7,3,23 : 40_tanh : 2_tanh,3,50,0.009997000899730081,0.01,0.9,0.0001,0.0001,0.5427681637001017,0.7813333333333333,test
8,3,23 : 40_tanh : 2_tanh,4,50,0.009996001599360257,0.01,0.9,0.0001,0.0001,0.5375217672373002,0.7781851851851852,train
9,3,23 : 40_tanh : 2_tanh,4,50,0.009996001599360257,0.01,0.9,0.0001,0.0001,0.5328525071967081,0.783,test
10,3,23 : 40_tanh : 2_tanh,5,50,0.009995002498750625,0.01,0.9,0.0001,0.0001,0.5316952861504449,0.7782592592592592,train
11,3,23 : 40_tanh : 2_tanh,5,50,0.009995002498750625,0.01,0.9,0.0001,0.0001,0.5267539737979224,0.7833333333333333,test
12,3,23 : 40_tanh : 2_tanh,6,50,0.009994003597841297,0.01,0.9,0.0001,0.0001,0.5280707421403236,0.7782962962962963,train
13,3,23 : 40_tanh : 2_tanh,6,50,0.009994003597841297,0.01,0.9,0.0001,0.0001,0.5229320663524412,0.7833333333333333,test
14,3,23 : 40_tanh : 2_tanh,7,50,0.0099930048965724,0.01,0.9,0.0001,0.0001,0.5258249619841188,0.7782962962962963,train
15,3,23 : 40_tanh : 2_tanh,7,50,0.0099930048965724,0.01,0.9,0.0001,0.0001,0.5205412484958319,0.7833333333333333,test
16,3,23 : 40_tanh : 2_tanh,8,50,0.009992006394884094,0.01,0.9,0.0001,0.0001,0.5243876897337437,0.7782962962962963,train
17,3,23 : 40_tanh : 2_tanh,8,50,0.009992006394884094,0.01,0.9,0.0001,0.0001,0.5189960168033818,0.7833333333333333,test
18,3,23 : 40_tanh : 2_tanh,9,50,0.009991008092716556,0.01,0.9,0.0001,0.0001,0.5234830311759786,0.7782962962962963,train
19,3,23 : 40_tanh : 2_tanh,9,50,0.009991008092716556,0.01,0.9,0.0001,0.0001,0.5180123422808888,0.7833333333333333,test
0,3,23 : 40_sigmoid : 2_sigmoid,0,50,0.01,0.01,0.9,0.0001,0.0001,0.6159780380062946,0.7811851851851852,train
1,3,23 : 40_sigmoid : 2_sigmoid,0,50,0.01,0.01,0.9,0.0001,0.0001,0.6151510760358538,0.7866666666666666,test
2,3,23 : 40_sigmoid : 2_sigmoid,1,50,0.009999000099990002,0.01,0.9,0.0001,0.0001,0.5734013921419505,0.7797407407407407,train
3,3,23 : 40_sigmoid : 2_sigmoid,1,50,0.009999000099990002,0.01,0.9,0.0001,0.0001,0.5716556909654803,0.788,test
4,3,23 : 40_sigmoid : 2_sigmoid,2,50,0.009998000399920017,0.01,0.9,0.0001,0.0001,0.5508113901898274,0.7786296296296297,train
5,3,23 : 40_sigmoid : 2_sigmoid,2,50,0.009998000399920017,0.01,0.9,0.0001,0.0001,0.5483491755076565,0.7836666666666666,test
6,3,23 : 40_sigmoid : 2_sigmoid,3,50,0.009997000899730081,0.01,0.9,0.0001,0.0001,0.5385191222999811,0.7782962962962963,train
7,3,23 : 40_sigmoid : 2_sigmoid,3,50,0.009997000899730081,0.01,0.9,0.0001,0.0001,0.5355021627560801,0.7833333333333333,test
8,3,23 : 40_sigmoid : 2_sigmoid,4,50,0.009996001599360257,0.01,0.9,0.0001,0.0001,0.5317382157749332,0.7782962962962963,train
9,3,23 : 40_sigmoid : 2_sigmoid,4,50,0.009996001599360257,0.01,0.9,0.0001,0.0001,0.5282926817287392,0.7833333333333333,test
10,3,23 : 40_sigmoid : 2_sigmoid,5,50,0.009995002498750625,0.01,0.9,0.0001,0.0001,0.5279016587589502,0.7782962962962963,train
11,3,23 : 40_sigmoid : 2_sigmoid,5,50,0.009995002498750625,0.01,0.9,0.0001,0.0001,0.5241184686772266,0.7833333333333333,test
12,3,23 : 40_sigmoid : 2_sigmoid,6,50,0.009994003597841297,0.01,0.9,0.0001,0.0001,0.5257871161795499,0.7782962962962963,train
13,3,23 : 40_sigmoid : 2_sigmoid,6,50,0.009994003597841297,0.01,0.9,0.0001,0.0001,0.521738784571551,0.7833333333333333,test
14,3,23 : 40_sigmoid : 2_sigmoid,7,50,0.0099930048965724,0.01,0.9,0.0001,0.0001,0.5246438733700501,0.7782962962962963,train
15,3,23 : 40_sigmoid : 2_sigmoid,7,50,0.0099930048965724,0.01,0.9,0.0001,0.0001,0.5203832210357489,0.7833333333333333,test
0,4,23 : 40_tanh : 20_tanh : 2_tanh,0,50,0.01,0.01,0.9,0.0001,0.0001,0.9494115526421107,0.2207037037037037,train
1,4,23 : 40_tanh : 20_tanh : 2_tanh,0,50,0.01,0.01,0.9,0.0001,0.0001,0.9448104388862566,0.22033333333333333,test
2,4,23 : 40_tanh : 20_tanh : 2_tanh,1,50,0.009999000099990002,0.01,0.9,0.0001,0.0001,0.763100270058152,0.25803703703703706,train
3,4,23 : 40_tanh : 20_tanh : 2_tanh,1,50,0.009999000099990002,0.01,0.9,0.0001,0.0001,0.7576744028796317,0.26766666666666666,test
4,4,23 : 40_tanh : 20_tanh : 2_tanh,2,50,0.009998000399920017,0.01,0.9,0.0001,0.0001,0.6641114340518797,0.6316666666666667,train
5,4,23 : 40_tanh : 20_tanh : 2_tanh,2,50,0.009998000399920017,0.01,0.9,0.0001,0.0001,0.6582747006045849,0.645,test
6,4,23 : 40_tanh : 20_tanh : 2_tanh,3,50,0.009997000899730081,0.01,0.9,0.0001,0.0001,0.6113190088423812,0.7515925925925926,train
7,4,23 : 40_tanh : 20_tanh : 2_tanh,3,50,0.009997000899730081,0.01,0.9,0.0001,0.0001,0.6053339201319115,0.7586666666666667,test
8,4,23 : 40_tanh : 20_tanh : 2_tanh,4,50,0.009996001599360257,0.01,0.9,0.0001,0.0001,0.5816652347211215,0.7706666666666667,train
9,4,23 : 40_tanh : 20_tanh : 2_tanh,4,50,0.009996001599360257,0.01,0.9,0.0001,0.0001,0.5756912624344681,0.7776666666666666,test
10,4,23 : 40_tanh : 20_tanh : 2_tanh,5,50,0.009995002498750625,0.01,0.9,0.0001,0.0001,0.5642175054469375,0.7749259259259259,train
11,4,23 : 40_tanh : 20_tanh : 2_tanh,5,50,0.009995002498750625,0.01,0.9,0.0001,0.0001,0.5583527343417822,0.7813333333333333,test
12,4,23 : 40_tanh : 20_tanh : 2_tanh,6,50,0.009994003597841297,0.01,0.9,0.0001,0.0001,0.5534446967451169,0.7764444444444445,train
13,4,23 : 40_tanh : 20_tanh : 2_tanh,6,50,0.009994003597841297,0.01,0.9,0.0001,0.0001,0.5477445986443057,0.7826666666666666,test
14,4,23 : 40_tanh : 20_tanh : 2_tanh,7,50,0.0099930048965724,0.01,0.9,0.0001,0.0001,0.546633412487176,0.7771481481481481,train
15,4,23 : 40_tanh : 20_tanh : 2_tanh,7,50,0.0099930048965724,0.01,0.9,0.0001,0.0001,0.5411299578349356,0.7836666666666666,test
16,4,23 : 40_tanh : 20_tanh : 2_tanh,8,50,0.009992006394884094,0.01,0.9,0.0001,0.0001,0.542159109024705,0.7777407407407407,train
17,4,23 : 40_tanh : 20_tanh : 2_tanh,8,50,0.009992006394884094,0.01,0.9,0.0001,0.0001,0.5368596130945685,0.783,test
18,4,23 : 40_tanh : 20_tanh : 2_tanh,9,50,0.009991008092716556,0.01,0.9,0.0001,0.0001,0.5391979426693816,0.7778518518518519,train
19,4,23 : 40_tanh : 20_tanh : 2_tanh,9,50,0.009991008092716556,0.01,0.9,0.0001,0.0001,0.5340995377021276,0.783,test
20,4,23 : 40_tanh : 20_tanh : 2_tanh,10,50,0.009990009990009992,0.01,0.9,0.0001,0.0001,0.5372011401216341,0.778074074074074,train
21,4,23 : 40_tanh : 20_tanh : 2_tanh,10,50,0.009990009990009992,0.01,0.9,0.0001,0.0001,0.5322891800139612,0.783,test
22,4,23 : 40_tanh : 20_tanh : 2_tanh,11,50,0.009989012086704625,0.01,0.9,0.0001,0.0001,0.5359055072643222,0.7781481481481481,train
23,4,23 : 40_tanh : 20_tanh : 2_tanh,11,50,0.009989012086704625,0.01,0.9,0.0001,0.0001,0.5311639964115523,0.783,test
24,4,23 : 40_tanh : 20_tanh : 2_tanh,12,50,0.00998801438274071,0.01,0.9,0.0001,0.0001,0.5350926923562206,0.7782222222222223,train
25,4,23 : 40_tanh : 20_tanh : 2_tanh,12,50,0.00998801438274071,0.01,0.9,0.0001,0.0001,0.5305044011072578,0.7833333333333333,test
26,4,23 : 40_tanh : 20_tanh : 2_tanh,13,50,0.009987016878058523,0.01,0.9,0.0001,0.0001,0.534622828607098,0.7782962962962963,train
27,4,23 : 40_tanh : 20_tanh : 2_tanh,13,50,0.009987016878058523,0.01,0.9,0.0001,0.0001,0.5301700637268072,0.7833333333333333,test
