,accuracy,batch size,cost,data set,epoch,initial learning rate,lambda,learning rate,momentum parameter,nodes per layer,number of layers,stopping tol
0,0.7796,50,0.49831873554058354,test,0,0.3,1e-08,0.3,0.9,23 : 40_tanh : 2_tanh,3,0.0001
1,0.7810666666666667,50,0.49721977471606194,train,0,0.3,1e-08,0.3,0.9,23 : 40_tanh : 2_tanh,3,0.0001
2,0.7924999999999999,50,0.4756355648250105,test,1,0.3,1e-08,0.29910269192422734,0.9,23 : 40_tanh : 2_tanh,3,0.0001
3,0.7927333333333333,50,0.4750940092213896,train,1,0.3,1e-08,0.29910269192422734,0.9,23 : 40_tanh : 2_tanh,3,0.0001
4,0.7965,50,0.4652685699851163,test,2,0.3,1e-08,0.2982107355864811,0.9,23 : 40_tanh : 2_tanh,3,0.0001
5,0.7960666666666667,50,0.4654044267680537,train,2,0.3,1e-08,0.2982107355864811,0.9,23 : 40_tanh : 2_tanh,3,0.0001
6,0.7971,50,0.4618986935493978,test,3,0.3,1e-08,0.29732408325074333,0.9,23 : 40_tanh : 2_tanh,3,0.0001
7,0.7985962962962964,50,0.4617591653407823,train,3,0.3,1e-08,0.29732408325074333,0.9,23 : 40_tanh : 2_tanh,3,0.0001
8,0.7993666666666668,50,0.4585571466213909,test,4,0.3,1e-08,0.2964426877470356,0.9,23 : 40_tanh : 2_tanh,3,0.0001
9,0.798811111111111,50,0.45903252040598286,train,4,0.3,1e-08,0.2964426877470356,0.9,23 : 40_tanh : 2_tanh,3,0.0001
10,0.7994000000000001,50,0.45254097297909446,test,5,0.3,1e-08,0.2955665024630542,0.9,23 : 40_tanh : 2_tanh,3,0.0001
11,0.7992629629629631,50,0.4533637604441208,train,5,0.3,1e-08,0.2955665024630542,0.9,23 : 40_tanh : 2_tanh,3,0.0001
12,0.8004000000000001,50,0.45000466354252683,test,6,0.3,1e-08,0.29469548133595286,0.9,23 : 40_tanh : 2_tanh,3,0.0001
13,0.8007111111111112,50,0.4504078242864538,train,6,0.3,1e-08,0.29469548133595286,0.9,23 : 40_tanh : 2_tanh,3,0.0001
14,0.8015666666666668,50,0.44942419598177297,test,7,0.3,1e-08,0.29382957884427036,0.9,23 : 40_tanh : 2_tanh,3,0.0001
15,0.800737037037037,50,0.4504675354696606,train,7,0.3,1e-08,0.29382957884427036,0.9,23 : 40_tanh : 2_tanh,3,0.0001
16,0.7979,50,0.44983498241248077,test,8,0.3,1e-08,0.29296875,0.9,23 : 40_tanh : 2_tanh,3,0.0001
17,0.7986037037037037,50,0.4501696395209011,train,8,0.3,1e-08,0.29296875,0.9,23 : 40_tanh : 2_tanh,3,0.0001
18,0.7969999999999999,50,0.44825777377177517,test,9,0.3,1e-08,0.2921129503407985,0.9,23 : 40_tanh : 2_tanh,3,0.0001
19,0.7979074074074074,50,0.44902400295376743,train,9,0.3,1e-08,0.2921129503407985,0.9,23 : 40_tanh : 2_tanh,3,0.0001
20,0.7979333333333335,50,0.4480532092036323,test,10,0.3,1e-08,0.2912621359223301,0.9,23 : 40_tanh : 2_tanh,3,0.0001
21,0.7995962962962964,50,0.4484772806379431,train,10,0.3,1e-08,0.2912621359223301,0.9,23 : 40_tanh : 2_tanh,3,0.0001
22,0.7986666666666666,50,0.4494536613695447,test,11,0.3,1e-08,0.29041626331074544,0.9,23 : 40_tanh : 2_tanh,3,0.0001
23,0.8002074074074074,50,0.4491106468573566,train,11,0.3,1e-08,0.29041626331074544,0.9,23 : 40_tanh : 2_tanh,3,0.0001
24,0.7974666666666667,50,0.4510465753569968,test,12,0.3,1e-08,0.28957528957528955,0.9,23 : 40_tanh : 2_tanh,3,0.0001
25,0.7993444444444444,50,0.450478569297695,train,12,0.3,1e-08,0.28957528957528955,0.9,23 : 40_tanh : 2_tanh,3,0.0001
26,0.7994333333333333,50,0.44595566701947653,test,13,0.3,1e-08,0.28873917228103946,0.9,23 : 40_tanh : 2_tanh,3,0.0001
27,0.7996814814814814,50,0.4455324931917436,train,13,0.3,1e-08,0.28873917228103946,0.9,23 : 40_tanh : 2_tanh,3,0.0001
28,0.7969666666666667,50,0.4431533540656617,test,14,0.3,1e-08,0.28790786948176583,0.9,23 : 40_tanh : 2_tanh,3,0.0001
29,0.7977296296296297,50,0.44275793532346447,train,14,0.3,1e-08,0.28790786948176583,0.9,23 : 40_tanh : 2_tanh,3,0.0001
30,0.7971333333333334,50,0.44600687590915544,test,15,0.3,1e-08,0.28708133971291866,0.9,23 : 40_tanh : 2_tanh,3,0.0001
31,0.7969592592592593,50,0.444940667252133,train,15,0.3,1e-08,0.28708133971291866,0.9,23 : 40_tanh : 2_tanh,3,0.0001
32,0.8012333333333332,50,0.4523862163915746,test,16,0.3,1e-08,0.2862595419847328,0.9,23 : 40_tanh : 2_tanh,3,0.0001
33,0.8013333333333333,50,0.4520265816018581,train,16,0.3,1e-08,0.2862595419847328,0.9,23 : 40_tanh : 2_tanh,3,0.0001
34,0.7973666666666667,50,0.4448120918076521,test,17,0.3,1e-08,0.285442435775452,0.9,23 : 40_tanh : 2_tanh,3,0.0001
35,0.7972962962962964,50,0.44479307149578096,train,17,0.3,1e-08,0.285442435775452,0.9,23 : 40_tanh : 2_tanh,3,0.0001
36,0.7976,50,0.440218253481775,test,18,0.3,1e-08,0.2846299810246679,0.9,23 : 40_tanh : 2_tanh,3,0.0001
37,0.7983148148148148,50,0.43987936485654355,train,18,0.3,1e-08,0.2846299810246679,0.9,23 : 40_tanh : 2_tanh,3,0.0001
38,0.7982666666666667,50,0.44135473126493857,test,19,0.3,1e-08,0.28382213812677387,0.9,23 : 40_tanh : 2_tanh,3,0.0001
39,0.7977370370370369,50,0.44197335891561573,train,19,0.3,1e-08,0.28382213812677387,0.9,23 : 40_tanh : 2_tanh,3,0.0001
40,0.7962333333333332,50,0.441035366251114,test,20,0.3,1e-08,0.2830188679245283,0.9,23 : 40_tanh : 2_tanh,3,0.0001
41,0.7974666666666665,50,0.4416044344677024,train,20,0.3,1e-08,0.2830188679245283,0.9,23 : 40_tanh : 2_tanh,3,0.0001
42,0.7982666666666667,50,0.43799081473279616,test,21,0.3,1e-08,0.28222013170272814,0.9,23 : 40_tanh : 2_tanh,3,0.0001
43,0.7996074074074075,50,0.4384744647281572,train,21,0.3,1e-08,0.28222013170272814,0.9,23 : 40_tanh : 2_tanh,3,0.0001
44,0.7973666666666667,50,0.4371353551045537,test,22,0.3,1e-08,0.28142589118198874,0.9,23 : 40_tanh : 2_tanh,3,0.0001
45,0.7975370370370369,50,0.43721002998422964,train,22,0.3,1e-08,0.28142589118198874,0.9,23 : 40_tanh : 2_tanh,3,0.0001
46,0.7960666666666667,50,0.43880646556545555,test,23,0.3,1e-08,0.2806361085126286,0.9,23 : 40_tanh : 2_tanh,3,0.0001
