,number of layers,nodes per layer,epoch,batch size,learning rate,initial learning rate,momentum parameter,lambda,stopping tol,cost,accuracy,data set
0,3,23 : 40_tanh : 2_tanh,0,50,0.3,0.3,1.00E-08,0.0001,0.0001,0.498746278,0.778296296,train
1,3,23 : 40_tanh : 2_tanh,0,50,0.3,0.3,1.00E-08,0.0001,0.0001,0.49576761,0.783666667,test
2,3,23 : 40_tanh : 2_tanh,1,50,0.299102692,0.3,1.00E-08,0.0001,0.0001,0.48860989,0.781148148,train
3,3,23 : 40_tanh : 2_tanh,1,50,0.299102692,0.3,1.00E-08,0.0001,0.0001,0.485891265,0.786666667,test
4,3,23 : 40_tanh : 2_tanh,2,50,0.298210736,0.3,1.00E-08,0.0001,0.0001,0.482090122,0.778814815,train
5,3,23 : 40_tanh : 2_tanh,2,50,0.298210736,0.3,1.00E-08,0.0001,0.0001,0.47882907,0.783666667,test
6,3,23 : 40_tanh : 2_tanh,3,50,0.297324083,0.3,1.00E-08,0.0001,0.0001,0.482296012,0.778407407,train
7,3,23 : 40_tanh : 2_tanh,3,50,0.297324083,0.3,1.00E-08,0.0001,0.0001,0.479280388,0.783333333,test
8,3,23 : 40_tanh : 2_tanh,4,50,0.296442688,0.3,1.00E-08,0.0001,0.0001,0.475194614,0.778407407,train
9,3,23 : 40_tanh : 2_tanh,4,50,0.296442688,0.3,1.00E-08,0.0001,0.0001,0.473136594,0.783,test
10,3,23 : 40_tanh : 2_tanh,5,50,0.295566502,0.3,1.00E-08,0.0001,0.0001,0.468935578,0.77862963,train
11,3,23 : 40_tanh : 2_tanh,5,50,0.295566502,0.3,1.00E-08,0.0001,0.0001,0.467455989,0.783333333,test
12,3,23 : 40_tanh : 2_tanh,6,50,0.294695481,0.3,1.00E-08,0.0001,0.0001,0.467512932,0.779444444,train
13,3,23 : 40_tanh : 2_tanh,6,50,0.294695481,0.3,1.00E-08,0.0001,0.0001,0.465769269,0.784333333,test
14,3,23 : 40_tanh : 2_tanh,7,50,0.293829579,0.3,1.00E-08,0.0001,0.0001,0.466840247,0.781518519,train
15,3,23 : 40_tanh : 2_tanh,7,50,0.293829579,0.3,1.00E-08,0.0001,0.0001,0.466734931,0.786666667,test
16,3,23 : 40_tanh : 2_tanh,8,50,0.29296875,0.3,1.00E-08,0.0001,0.0001,0.463669041,0.780185185,train
