,number of layers,nodes per layer,epoch,batch size,learning rate,momentum parameter,lambda,stopping tol,cost,accuracy,data set
0,3,23 : 40_sigmoid : 2_sigmoid,0,50,0.3,0.9,1e-08,0.0001,0.5087580108742855,0.7785185185185185,train
1,3,23 : 40_sigmoid : 2_sigmoid,0,50,0.3,0.9,1e-08,0.0001,0.505415564795597,0.7813333333333333,test
2,3,23 : 40_sigmoid : 2_sigmoid,1,50,0.2912621359223301,0.9,1e-08,0.0001,0.5081331774819737,0.7785185185185185,train
3,3,23 : 40_sigmoid : 2_sigmoid,1,50,0.2912621359223301,0.9,1e-08,0.0001,0.5053958997960276,0.7813333333333333,test
4,3,23 : 40_sigmoid : 2_sigmoid,2,50,0.2830188679245283,0.9,1e-08,0.0001,0.49912020077648883,0.7785185185185185,train
5,3,23 : 40_sigmoid : 2_sigmoid,2,50,0.2830188679245283,0.9,1e-08,0.0001,0.4955968705380602,0.7813333333333333,test
6,3,23 : 40_sigmoid : 2_sigmoid,3,50,0.2752293577981651,0.9,1e-08,0.0001,0.49662801414384133,0.7785555555555556,train
7,3,23 : 40_sigmoid : 2_sigmoid,3,50,0.2752293577981651,0.9,1e-08,0.0001,0.4930961169659404,0.7813333333333333,test
8,3,23 : 40_sigmoid : 2_sigmoid,4,50,0.26785714285714285,0.9,1e-08,0.0001,0.4954255359028077,0.7785185185185185,train
9,3,23 : 40_sigmoid : 2_sigmoid,4,50,0.26785714285714285,0.9,1e-08,0.0001,0.49111976989884554,0.7813333333333333,test
10,3,23 : 40_sigmoid : 2_sigmoid,5,50,0.2608695652173913,0.9,1e-08,0.0001,0.4904377435736904,0.7787037037037037,train
11,3,23 : 40_sigmoid : 2_sigmoid,5,50,0.2608695652173913,0.9,1e-08,0.0001,0.4866250719516243,0.782,test
12,3,23 : 40_sigmoid : 2_sigmoid,6,50,0.2542372881355932,0.9,1e-08,0.0001,0.4876203394660277,0.7788148148148148,train
13,3,23 : 40_sigmoid : 2_sigmoid,6,50,0.2542372881355932,0.9,1e-08,0.0001,0.48359746414995314,0.7823333333333333,test
14,3,23 : 40_sigmoid : 2_sigmoid,7,50,0.24793388429752067,0.9,1e-08,0.0001,0.48507708987658144,0.7792592592592592,train
15,3,23 : 40_sigmoid : 2_sigmoid,7,50,0.24793388429752067,0.9,1e-08,0.0001,0.4807273901104165,0.7826666666666666,test
16,3,23 : 40_sigmoid : 2_sigmoid,8,50,0.24193548387096772,0.9,1e-08,0.0001,0.4832030073496007,0.7808148148148149,train
17,3,23 : 40_sigmoid : 2_sigmoid,8,50,0.24193548387096772,0.9,1e-08,0.0001,0.4791596116372829,0.7833333333333333,test
18,3,23 : 40_sigmoid : 2_sigmoid,9,50,0.23622047244094488,0.9,1e-08,0.0001,0.48220801691782267,0.7797037037037037,train
19,3,23 : 40_sigmoid : 2_sigmoid,9,50,0.23622047244094488,0.9,1e-08,0.0001,0.47722188523679565,0.7826666666666666,test
20,3,23 : 40_sigmoid : 2_sigmoid,10,50,0.23076923076923078,0.9,1e-08,0.0001,0.4799720162797013,0.7824074074074074,train
21,3,23 : 40_sigmoid : 2_sigmoid,10,50,0.23076923076923078,0.9,1e-08,0.0001,0.47573819978338555,0.7823333333333333,test
22,3,23 : 40_sigmoid : 2_sigmoid,11,50,0.22556390977443608,0.9,1e-08,0.0001,0.47867353704052384,0.7818518518518518,train
23,3,23 : 40_sigmoid : 2_sigmoid,11,50,0.22556390977443608,0.9,1e-08,0.0001,0.4741700828743914,0.7826666666666666,test
24,3,23 : 40_sigmoid : 2_sigmoid,12,50,0.22058823529411767,0.9,1e-08,0.0001,0.4784590268118761,0.7838518518518518,train
25,3,23 : 40_sigmoid : 2_sigmoid,12,50,0.22058823529411767,0.9,1e-08,0.0001,0.474252254782412,0.7826666666666666,test
26,3,23 : 40_sigmoid : 2_sigmoid,13,50,0.21582733812949637,0.9,1e-08,0.0001,0.4766545904390988,0.7842592592592592,train
