,number of layers,nodes per layer,epoch,batch size,learning rate,initial learning rate,momentum parameter,lambda,stopping tol,cost,accuracy,data set
0,3,23 : 40_sigmoid : 2_sigmoid,0,50,0.3,0.3,0.9,1e-08,0.0001,0.6768314763816392,0.5466081925912102,train
1,3,23 : 40_sigmoid : 2_sigmoid,0,50,0.3,0.3,0.9,1e-08,0.0001,0.6752751325160622,0.5575146935348446,test
2,3,23 : 40_sigmoid : 2_sigmoid,1,50,0.2912621359223301,0.3,0.9,1e-08,0.0001,0.6798014875842415,0.5433423532705048,train
3,3,23 : 40_sigmoid : 2_sigmoid,1,50,0.2912621359223301,0.3,0.9,1e-08,0.0001,0.6725672391875501,0.5424013434089001,test
4,3,23 : 40_sigmoid : 2_sigmoid,2,50,0.2830188679245283,0.3,0.9,1e-08,0.0001,0.6693941003696721,0.5831855929831109,train
5,3,23 : 40_sigmoid : 2_sigmoid,2,50,0.2830188679245283,0.3,0.9,1e-08,0.0001,0.6648353853102941,0.5885810243492863,test
6,3,23 : 40_sigmoid : 2_sigmoid,3,50,0.2752293577981651,0.3,0.9,1e-08,0.0001,0.6632240518580955,0.5995147895866381,train
7,3,23 : 40_sigmoid : 2_sigmoid,3,50,0.2752293577981651,0.3,0.9,1e-08,0.0001,0.6606911362905419,0.6146095717884131,test
8,3,23 : 40_sigmoid : 2_sigmoid,4,50,0.26785714285714285,0.3,0.9,1e-08,0.0001,0.661116167441794,0.6080059718204721,train
9,3,23 : 40_sigmoid : 2_sigmoid,4,50,0.26785714285714285,0.3,0.9,1e-08,0.0001,0.6582078024645409,0.6196473551637279,test
10,3,23 : 40_sigmoid : 2_sigmoid,5,50,0.2608695652173913,0.3,0.9,1e-08,0.0001,0.661380446119212,0.611085191751423,train
11,3,23 : 40_sigmoid : 2_sigmoid,5,50,0.2608695652173913,0.3,0.9,1e-08,0.0001,0.6570826528791112,0.6062132661628883,test
12,3,23 : 40_sigmoid : 2_sigmoid,6,50,0.2542372881355932,0.3,0.9,1e-08,0.0001,0.6537400865070349,0.6072594942614538,train
13,3,23 : 40_sigmoid : 2_sigmoid,6,50,0.2542372881355932,0.3,0.9,1e-08,0.0001,0.6537587787926914,0.6196473551637279,test
14,3,23 : 40_sigmoid : 2_sigmoid,7,50,0.24793388429752067,0.3,0.9,1e-08,0.0001,0.6534887565679108,0.5807595409163012,train
15,3,23 : 40_sigmoid : 2_sigmoid,7,50,0.24793388429752067,0.3,0.9,1e-08,0.0001,0.6558870676941313,0.5734676742233418,test
16,3,23 : 40_sigmoid : 2_sigmoid,8,50,0.24193548387096772,0.3,0.9,1e-08,0.0001,0.6502100138371031,0.6217224969674349,train
17,3,23 : 40_sigmoid : 2_sigmoid,8,50,0.24193548387096772,0.3,0.9,1e-08,0.0001,0.649859045188993,0.6347607052896725,test
18,3,23 : 40_sigmoid : 2_sigmoid,9,50,0.23622047244094488,0.3,0.9,1e-08,0.0001,0.6487279736782126,0.6286274143883549,train
19,3,23 : 40_sigmoid : 2_sigmoid,9,50,0.23622047244094488,0.3,0.9,1e-08,0.0001,0.6480932087386431,0.6414777497900923,test
20,3,23 : 40_sigmoid : 2_sigmoid,10,50,0.23076923076923078,0.3,0.9,1e-08,0.0001,0.6464309221079904,0.6254548847625269,train
21,3,23 : 40_sigmoid : 2_sigmoid,10,50,0.23076923076923078,0.3,0.9,1e-08,0.0001,0.6464190411069481,0.6414777497900923,test
22,3,23 : 40_sigmoid : 2_sigmoid,11,50,0.22556390977443608,0.3,0.9,1e-08,0.0001,0.64700497677908,0.6398245777736307,train
23,3,23 : 40_sigmoid : 2_sigmoid,11,50,0.22556390977443608,0.3,0.9,1e-08,0.0001,0.6454082268246466,0.6582703610411419,test
24,3,23 : 40_sigmoid : 2_sigmoid,12,50,0.22058823529411767,0.3,0.9,1e-08,0.0001,0.6476639852280832,0.6444900625174955,train
25,3,23 : 40_sigmoid : 2_sigmoid,12,50,0.22058823529411767,0.3,0.9,1e-08,0.0001,0.6449837591026876,0.6540722082283795,test
26,3,23 : 40_sigmoid : 2_sigmoid,13,50,0.21582733812949637,0.3,0.9,1e-08,0.0001,0.6443073199397767,0.6466361854996734,train
27,3,23 : 40_sigmoid : 2_sigmoid,13,50,0.21582733812949637,0.3,0.9,1e-08,0.0001,0.6423765662944896,0.6540722082283795,test
28,3,23 : 40_sigmoid : 2_sigmoid,14,50,0.2112676056338028,0.3,0.9,1e-08,0.0001,0.6451779647572464,0.6523280768871885,train
29,3,23 : 40_sigmoid : 2_sigmoid,14,50,0.2112676056338028,0.3,0.9,1e-08,0.0001,0.6428392263820699,0.6616288832913518,test
30,3,23 : 40_sigmoid : 2_sigmoid,15,50,0.2068965517241379,0.3,0.9,1e-08,0.0001,0.6407291851184533,0.6490622375664832,train
31,3,23 : 40_sigmoid : 2_sigmoid,15,50,0.2068965517241379,0.3,0.9,1e-08,0.0001,0.640192754819418,0.6591099916036943,test
