,accuracy,batch size,cost,data set,epoch,initial learning rate,lambda,learning rate,momentum parameter,nodes per layer,number of layers,pol order,stopping tol
0,Nan,50,0.08487693450194662,test,0,0.4,1e-06,0.4,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
1,Nan,50,0.08864146856355001,train,0,0.4,1e-06,0.4,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
2,Nan,50,0.02735748125215266,test,1,0.4,1e-06,0.39840637450199207,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
3,Nan,50,0.0275462814539094,train,1,0.4,1e-06,0.39840637450199207,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
4,Nan,50,0.025890541646194486,test,2,0.4,1e-06,0.39682539682539686,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
5,Nan,50,0.025518133959619622,train,2,0.4,1e-06,0.39682539682539686,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
6,Nan,50,0.013964364529323134,test,3,0.4,1e-06,0.3952569169960474,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
7,Nan,50,0.01569107523481967,train,3,0.4,1e-06,0.3952569169960474,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
8,Nan,50,0.009973732629571356,test,4,0.4,1e-06,0.3937007874015748,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
9,Nan,50,0.011919929696493267,train,4,0.4,1e-06,0.3937007874015748,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
10,Nan,50,0.010860333242532499,test,5,0.4,1e-06,0.39215686274509803,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
11,Nan,50,0.010996020407150585,train,5,0.4,1e-06,0.39215686274509803,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
12,Nan,50,0.005246033668470737,test,6,0.4,1e-06,0.390625,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
13,Nan,50,0.006236403803984193,train,6,0.4,1e-06,0.390625,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
14,Nan,50,0.005872992926521476,test,7,0.4,1e-06,0.38910505836575876,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
15,Nan,50,0.006939911385230832,train,7,0.4,1e-06,0.38910505836575876,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
16,Nan,50,0.005214641537721302,test,8,0.4,1e-06,0.3875968992248062,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
17,Nan,50,0.005975679818503669,train,8,0.4,1e-06,0.3875968992248062,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
18,Nan,50,0.004432237060543685,test,9,0.4,1e-06,0.3861003861003861,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
19,Nan,50,0.004980693300092844,train,9,0.4,1e-06,0.3861003861003861,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
20,Nan,50,0.004845559104604212,test,10,0.4,1e-06,0.38461538461538464,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
21,Nan,50,0.005047714454640899,train,10,0.4,1e-06,0.38461538461538464,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
22,Nan,50,0.005216159481128494,test,11,0.4,1e-06,0.3831417624521073,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
23,Nan,50,0.005429226179157597,train,11,0.4,1e-06,0.3831417624521073,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
24,Nan,50,0.00506634213369784,test,12,0.4,1e-06,0.3816793893129771,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
25,Nan,50,0.005424848612796489,train,12,0.4,1e-06,0.3816793893129771,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
26,Nan,50,0.005170060167862916,test,13,0.4,1e-06,0.3802281368821293,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
27,Nan,50,0.004959232531550818,train,13,0.4,1e-06,0.3802281368821293,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
28,Nan,50,0.004465003475905019,test,14,0.4,1e-06,0.3787878787878788,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
29,Nan,50,0.004563975361627699,train,14,0.4,1e-06,0.3787878787878788,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
30,Nan,50,0.005398055385775301,test,15,0.4,1e-06,0.37735849056603776,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
31,Nan,50,0.005231717528084005,train,15,0.4,1e-06,0.37735849056603776,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
32,Nan,50,0.004893681573789582,test,16,0.4,1e-06,0.37593984962406013,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
33,Nan,50,0.005210705409310052,train,16,0.4,1e-06,0.37593984962406013,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
34,Nan,50,0.005014379723211279,test,17,0.4,1e-06,0.37453183520599254,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
35,Nan,50,0.005569595343854998,train,17,0.4,1e-06,0.37453183520599254,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
36,Nan,50,0.004208975469220605,test,18,0.4,1e-06,0.373134328358209,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
37,Nan,50,0.004406045027421412,train,18,0.4,1e-06,0.373134328358209,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
38,Nan,50,0.004815184786071478,test,19,0.4,1e-06,0.37174721189591076,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
39,Nan,50,0.0046276222902205556,train,19,0.4,1e-06,0.37174721189591076,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
40,Nan,50,0.004155990359688995,test,20,0.4,1e-06,0.37037037037037035,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
41,Nan,50,0.004476933045810806,train,20,0.4,1e-06,0.37037037037037035,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
42,Nan,50,0.004445492501418769,test,21,0.4,1e-06,0.36900369003690037,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
43,Nan,50,0.004457023221464021,train,21,0.4,1e-06,0.36900369003690037,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
44,Nan,50,0.004267805781209148,test,22,0.4,1e-06,0.3676470588235294,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
45,Nan,50,0.004126530921519911,train,22,0.4,1e-06,0.3676470588235294,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
46,Nan,50,0.004161794521687579,test,23,0.4,1e-06,0.3663003663003663,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
47,Nan,50,0.004505824634512581,train,23,0.4,1e-06,0.3663003663003663,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
48,Nan,50,0.003695368657816005,test,24,0.4,1e-06,0.36496350364963503,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
49,Nan,50,0.004190042602022022,train,24,0.4,1e-06,0.36496350364963503,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
50,Nan,50,0.004659316875085243,test,25,0.4,1e-06,0.36363636363636365,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
51,Nan,50,0.0040694933382792835,train,25,0.4,1e-06,0.36363636363636365,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
52,Nan,50,0.004600273583074156,test,26,0.4,1e-06,0.36231884057971014,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
53,Nan,50,0.004316450496560642,train,26,0.4,1e-06,0.36231884057971014,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
54,Nan,50,0.004158339845025672,test,27,0.4,1e-06,0.3610108303249097,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
55,Nan,50,0.004352983068135245,train,27,0.4,1e-06,0.3610108303249097,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
56,Nan,50,0.004502086333938939,test,28,0.4,1e-06,0.3597122302158273,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
57,Nan,50,0.004317856514402286,train,28,0.4,1e-06,0.3597122302158273,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
58,Nan,50,0.004367622449888325,test,29,0.4,1e-06,0.35842293906810035,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
59,Nan,50,0.004206295536480026,train,29,0.4,1e-06,0.35842293906810035,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
60,Nan,50,0.004178838258679318,test,30,0.4,1e-06,0.35714285714285715,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
61,Nan,50,0.004085088813058631,train,30,0.4,1e-06,0.35714285714285715,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
62,Nan,50,0.004434073980771637,test,31,0.4,1e-06,0.3558718861209964,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
63,Nan,50,0.004381887271489128,train,31,0.4,1e-06,0.3558718861209964,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
64,Nan,50,0.0038902599281557177,test,32,0.4,1e-06,0.35460992907801414,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
65,Nan,50,0.004138531713004682,train,32,0.4,1e-06,0.35460992907801414,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
66,Nan,50,0.004047423893865474,test,33,0.4,1e-06,0.3533568904593639,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
67,Nan,50,0.004133838837676567,train,33,0.4,1e-06,0.3533568904593639,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
68,Nan,50,0.003792029571921848,test,34,0.4,1e-06,0.352112676056338,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
69,Nan,50,0.0037532661997747483,train,34,0.4,1e-06,0.352112676056338,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
70,Nan,50,0.0038832433375330017,test,35,0.4,1e-06,0.3508771929824561,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
71,Nan,50,0.004054444565345911,train,35,0.4,1e-06,0.3508771929824561,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
72,Nan,50,0.0045078692693680655,test,36,0.4,1e-06,0.34965034965034963,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
73,Nan,50,0.004354046586412369,train,36,0.4,1e-06,0.34965034965034963,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
74,Nan,50,0.004219177758451385,test,37,0.4,1e-06,0.3484320557491289,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
75,Nan,50,0.003911689515699536,train,37,0.4,1e-06,0.3484320557491289,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
76,Nan,50,0.004595586737483941,test,38,0.4,1e-06,0.3472222222222222,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
77,Nan,50,0.004256359686181125,train,38,0.4,1e-06,0.3472222222222222,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
78,Nan,50,0.005965770339897893,validation,38,0.4,1e-06,0.3472222222222222,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
79,Nan,50,0.004008245523251188,test,39,0.4,1e-06,0.3460207612456747,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
80,Nan,50,0.004118674114973289,train,39,0.4,1e-06,0.3460207612456747,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
81,Nan,50,0.003982278785327576,test,40,0.4,1e-06,0.3448275862068965,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
82,Nan,50,0.003908895832288144,train,40,0.4,1e-06,0.3448275862068965,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
83,Nan,50,0.0041933077006346894,test,41,0.4,1e-06,0.3436426116838488,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
84,Nan,50,0.0040174616326413125,train,41,0.4,1e-06,0.3436426116838488,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
85,Nan,50,0.003953149833925501,test,42,0.4,1e-06,0.3424657534246575,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
86,Nan,50,0.0037774961326714467,train,42,0.4,1e-06,0.3424657534246575,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
87,Nan,50,0.004299802670163659,test,43,0.4,1e-06,0.341296928327645,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
88,Nan,50,0.00399826557605392,train,43,0.4,1e-06,0.341296928327645,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
89,Nan,50,0.0039021759725662835,test,44,0.4,1e-06,0.3401360544217687,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
90,Nan,50,0.004027942696489687,train,44,0.4,1e-06,0.3401360544217687,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
91,Nan,50,0.003890510924656941,test,45,0.4,1e-06,0.3389830508474576,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
92,Nan,50,0.003870311199502724,train,45,0.4,1e-06,0.3389830508474576,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
93,Nan,50,0.00414555891249583,test,46,0.4,1e-06,0.33783783783783783,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
94,Nan,50,0.0038760773488593697,train,46,0.4,1e-06,0.33783783783783783,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
95,Nan,50,0.0042325570116003314,test,47,0.4,1e-06,0.33670033670033667,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
96,Nan,50,0.00390406409885461,train,47,0.4,1e-06,0.33670033670033667,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
97,Nan,50,0.0037864568417110764,test,48,0.4,1e-06,0.3355704697986577,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
98,Nan,50,0.00377849380338509,train,48,0.4,1e-06,0.3355704697986577,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
99,Nan,50,0.004145482821409732,test,49,0.4,1e-06,0.334448160535117,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
100,Nan,50,0.004124946852611991,train,49,0.4,1e-06,0.334448160535117,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
101,Nan,50,0.0037263652375878493,test,50,0.4,1e-06,0.3333333333333333,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
102,Nan,50,0.003728719008464159,train,50,0.4,1e-06,0.3333333333333333,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
103,Nan,50,0.003841672204045167,test,51,0.4,1e-06,0.3322259136212624,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
104,Nan,50,0.003773950711974746,train,51,0.4,1e-06,0.3322259136212624,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
105,Nan,50,0.003922590081107486,test,52,0.4,1e-06,0.3311258278145695,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
106,Nan,50,0.003767264782317909,train,52,0.4,1e-06,0.3311258278145695,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
107,Nan,50,0.003875022764393495,test,53,0.4,1e-06,0.33003300330033,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
108,Nan,50,0.003743696754062352,train,53,0.4,1e-06,0.33003300330033,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
109,Nan,50,0.0038241099641884834,test,54,0.4,1e-06,0.3289473684210526,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
110,Nan,50,0.0037323155133762204,train,54,0.4,1e-06,0.3289473684210526,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
111,Nan,50,0.002222608497444382,validation,54,0.4,1e-06,0.3289473684210526,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
112,Nan,50,0.0038524968692057347,test,55,0.4,1e-06,0.32786885245901637,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
113,Nan,50,0.00376338260922331,train,55,0.4,1e-06,0.32786885245901637,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
114,Nan,50,0.002853796475834705,validation,55,0.4,1e-06,0.32786885245901637,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
115,Nan,50,0.004246931722944854,test,56,0.4,1e-06,0.326797385620915,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
116,Nan,50,0.0038981130980075547,train,56,0.4,1e-06,0.326797385620915,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
117,Nan,50,0.0036471415828704737,test,57,0.4,1e-06,0.3257328990228013,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
118,Nan,50,0.003795636082571041,train,57,0.4,1e-06,0.3257328990228013,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
119,Nan,50,0.002338211832797893,validation,57,0.4,1e-06,0.3257328990228013,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
120,Nan,50,0.004091728236300469,test,58,0.4,1e-06,0.3246753246753246,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
121,Nan,50,0.0037030668532559,train,58,0.4,1e-06,0.3246753246753246,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
122,Nan,50,0.003990038718940859,test,59,0.4,1e-06,0.32362459546925565,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
123,Nan,50,0.003690069634682998,train,59,0.4,1e-06,0.32362459546925565,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
124,Nan,50,0.004227390018420627,test,60,0.4,1e-06,0.32258064516129026,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
125,Nan,50,0.0036365056031973223,train,60,0.4,1e-06,0.32258064516129026,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
126,Nan,50,0.004034417958492913,test,61,0.4,1e-06,0.32154340836012857,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
127,Nan,50,0.003656404618738922,train,61,0.4,1e-06,0.32154340836012857,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
128,Nan,50,0.004116857190873638,validation,61,0.4,1e-06,0.32154340836012857,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
129,Nan,50,0.0038971619086125035,test,62,0.4,1e-06,0.3205128205128205,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
130,Nan,50,0.0036225862143153013,train,62,0.4,1e-06,0.3205128205128205,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
131,Nan,50,0.003956287034654065,test,63,0.4,1e-06,0.3194888178913738,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
132,Nan,50,0.003705038856094977,train,63,0.4,1e-06,0.3194888178913738,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
133,Nan,50,0.0046567953969211704,validation,63,0.4,1e-06,0.3194888178913738,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
134,Nan,50,0.0038856158439939214,test,64,0.4,1e-06,0.3184713375796178,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
135,Nan,50,0.0036549097735674102,train,64,0.4,1e-06,0.3184713375796178,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
136,Nan,50,0.004275624819331147,test,65,0.4,1e-06,0.31746031746031744,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
137,Nan,50,0.0039132850026467264,train,65,0.4,1e-06,0.31746031746031744,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
138,Nan,50,0.004228290530243328,test,66,0.4,1e-06,0.3164556962025316,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
139,Nan,50,0.0035921130555138913,train,66,0.4,1e-06,0.3164556962025316,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
