,accuracy,batch size,cost,data set,epoch,initial learning rate,lambda,learning rate,momentum parameter,nodes per layer,number of layers,pol order,stopping tol
0,Nan,50,0.1814669458008978,test,0,0.4,1e-06,0.4,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
1,Nan,50,0.14872298411835871,train,0,0.4,1e-06,0.4,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
2,Nan,50,0.05690892876839856,test,1,0.4,1e-06,0.39840637450199207,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
3,Nan,50,0.04309288349811699,train,1,0.4,1e-06,0.39840637450199207,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
4,Nan,50,0.026235803653121788,test,2,0.4,1e-06,0.39682539682539686,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
5,Nan,50,0.02539878693415819,train,2,0.4,1e-06,0.39682539682539686,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
6,Nan,50,0.013395064110431282,test,3,0.4,1e-06,0.3952569169960474,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
7,Nan,50,0.014501521683287352,train,3,0.4,1e-06,0.3952569169960474,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
8,Nan,50,0.010260178845558661,test,4,0.4,1e-06,0.3937007874015748,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
9,Nan,50,0.00833172345392161,train,4,0.4,1e-06,0.3937007874015748,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
10,Nan,50,0.010337299841236963,test,5,0.4,1e-06,0.39215686274509803,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
11,Nan,50,0.009539846197924343,train,5,0.4,1e-06,0.39215686274509803,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
12,Nan,50,0.006643123336333085,test,6,0.4,1e-06,0.390625,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
13,Nan,50,0.005153891298702228,train,6,0.4,1e-06,0.390625,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
14,Nan,50,0.00647370101555394,test,7,0.4,1e-06,0.38910505836575876,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
15,Nan,50,0.005197063302942642,train,7,0.4,1e-06,0.38910505836575876,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
16,Nan,50,0.007623621581281162,test,8,0.4,1e-06,0.3875968992248062,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
17,Nan,50,0.005842413117741066,train,8,0.4,1e-06,0.3875968992248062,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
18,Nan,50,0.008357410712510699,test,9,0.4,1e-06,0.3861003861003861,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
19,Nan,50,0.006488064719397208,train,9,0.4,1e-06,0.3861003861003861,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
20,Nan,50,0.007404689244096813,test,10,0.4,1e-06,0.38461538461538464,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
21,Nan,50,0.005454837675767294,train,10,0.4,1e-06,0.38461538461538464,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
22,Nan,50,0.006859978592921767,test,11,0.4,1e-06,0.3831417624521073,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
23,Nan,50,0.005664229079033239,train,11,0.4,1e-06,0.3831417624521073,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
24,Nan,50,0.005999120040449323,test,12,0.4,1e-06,0.3816793893129771,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
25,Nan,50,0.005274372186749601,train,12,0.4,1e-06,0.3816793893129771,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
26,Nan,50,0.005606185978947066,test,13,0.4,1e-06,0.3802281368821293,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
27,Nan,50,0.004194294972605832,train,13,0.4,1e-06,0.3802281368821293,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
28,Nan,50,0.007339656200673397,test,14,0.4,1e-06,0.3787878787878788,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
29,Nan,50,0.005737252963309673,train,14,0.4,1e-06,0.3787878787878788,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
30,Nan,50,0.005501630222693968,test,15,0.4,1e-06,0.37735849056603776,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
31,Nan,50,0.005055535135435057,train,15,0.4,1e-06,0.37735849056603776,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
32,Nan,50,0.005004417590246557,test,16,0.4,1e-06,0.37593984962406013,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
33,Nan,50,0.004120981803400492,train,16,0.4,1e-06,0.37593984962406013,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
34,Nan,50,0.005081897263533394,test,17,0.4,1e-06,0.37453183520599254,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
35,Nan,50,0.004367848315649866,train,17,0.4,1e-06,0.37453183520599254,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
36,Nan,50,0.0049210295108653304,test,18,0.4,1e-06,0.373134328358209,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
37,Nan,50,0.004315082704356781,train,18,0.4,1e-06,0.373134328358209,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
38,Nan,50,0.005745347274686531,test,19,0.4,1e-06,0.37174721189591076,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
39,Nan,50,0.005188187434495595,train,19,0.4,1e-06,0.37174721189591076,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
40,Nan,50,0.005434280672548045,test,20,0.4,1e-06,0.37037037037037035,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
41,Nan,50,0.004311656319254236,train,20,0.4,1e-06,0.37037037037037035,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
42,Nan,50,0.005833904566630421,test,21,0.4,1e-06,0.36900369003690037,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
43,Nan,50,0.0046574881309788645,train,21,0.4,1e-06,0.36900369003690037,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
44,Nan,50,0.005272947297543344,test,22,0.4,1e-06,0.3676470588235294,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
45,Nan,50,0.004432864628687578,train,22,0.4,1e-06,0.3676470588235294,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
46,Nan,50,0.005019482772847306,test,23,0.4,1e-06,0.3663003663003663,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
