,accuracy,batch size,cost,data set,epoch,initial learning rate,lambda,learning rate,momentum parameter,nodes per layer,number of layers,pol order,stopping tol
0,Nan,50,0.08449031365736169,test,0,0.4,1e-06,0.4,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
1,Nan,50,0.08973398865830909,train,0,0.4,1e-06,0.4,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
2,Nan,50,0.025167733304990513,test,1,0.4,1e-06,0.39840637450199207,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
3,Nan,50,0.01768044715755366,train,1,0.4,1e-06,0.39840637450199207,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
4,Nan,50,0.008263022374447732,test,2,0.4,1e-06,0.39682539682539686,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
5,Nan,50,0.006756559598076574,train,2,0.4,1e-06,0.39682539682539686,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
6,Nan,50,0.016033993760803715,test,3,0.4,1e-06,0.3952569169960474,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
7,Nan,50,0.011071024199428889,train,3,0.4,1e-06,0.3952569169960474,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
8,Nan,50,0.010731407235651932,test,4,0.4,1e-06,0.3937007874015748,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
9,Nan,50,0.008634697463835116,train,4,0.4,1e-06,0.3937007874015748,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
10,Nan,50,0.010743617235251213,test,5,0.4,1e-06,0.39215686274509803,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
11,Nan,50,0.007262447921020365,train,5,0.4,1e-06,0.39215686274509803,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
12,Nan,50,0.010035416354933614,test,6,0.4,1e-06,0.390625,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
13,Nan,50,0.007879414064349301,train,6,0.4,1e-06,0.390625,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
14,Nan,50,0.006847488331670565,test,7,0.4,1e-06,0.38910505836575876,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
15,Nan,50,0.005248360662876869,train,7,0.4,1e-06,0.38910505836575876,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
16,Nan,50,0.006601482580971924,test,8,0.4,1e-06,0.3875968992248062,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
17,Nan,50,0.005584717908261351,train,8,0.4,1e-06,0.3875968992248062,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
18,Nan,50,0.006574564952407222,test,9,0.4,1e-06,0.3861003861003861,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
19,Nan,50,0.004977587198179747,train,9,0.4,1e-06,0.3861003861003861,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
20,Nan,50,0.007435715289764026,test,10,0.4,1e-06,0.38461538461538464,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
21,Nan,50,0.0059374389845665435,train,10,0.4,1e-06,0.38461538461538464,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
22,Nan,50,0.005862710935504487,test,11,0.4,1e-06,0.3831417624521073,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
23,Nan,50,0.004794856059623638,train,11,0.4,1e-06,0.3831417624521073,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
24,Nan,50,0.006290935270224185,test,12,0.4,1e-06,0.3816793893129771,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
25,Nan,50,0.004932878814754302,train,12,0.4,1e-06,0.3816793893129771,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
26,Nan,50,0.0072617295089764415,test,13,0.4,1e-06,0.3802281368821293,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
27,Nan,50,0.006182689981362602,train,13,0.4,1e-06,0.3802281368821293,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
28,Nan,50,0.005814215547130135,test,14,0.4,1e-06,0.3787878787878788,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
29,Nan,50,0.0064574674154240065,train,14,0.4,1e-06,0.3787878787878788,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
30,Nan,50,0.005261480304656928,test,15,0.4,1e-06,0.37735849056603776,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
31,Nan,50,0.0044894253932923015,train,15,0.4,1e-06,0.37735849056603776,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
32,Nan,50,0.004798017334997811,test,16,0.4,1e-06,0.37593984962406013,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
33,Nan,50,0.005127557023672154,train,16,0.4,1e-06,0.37593984962406013,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
34,Nan,50,0.004342374785015606,test,17,0.4,1e-06,0.37453183520599254,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
35,Nan,50,0.0039776740967650236,train,17,0.4,1e-06,0.37453183520599254,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
36,Nan,50,0.004588003311650363,test,18,0.4,1e-06,0.373134328358209,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
37,Nan,50,0.004323950493318389,train,18,0.4,1e-06,0.373134328358209,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
38,Nan,50,0.005773198085516095,test,19,0.4,1e-06,0.37174721189591076,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
39,Nan,50,0.0051422823813670245,train,19,0.4,1e-06,0.37174721189591076,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
40,Nan,50,0.004303058640075695,test,20,0.4,1e-06,0.37037037037037035,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
41,Nan,50,0.004492638160875722,train,20,0.4,1e-06,0.37037037037037035,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
42,Nan,50,0.00484991821739706,test,21,0.4,1e-06,0.36900369003690037,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
43,Nan,50,0.004029776475555087,train,21,0.4,1e-06,0.36900369003690037,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
44,Nan,50,0.005001325043754388,test,22,0.4,1e-06,0.3676470588235294,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
45,Nan,50,0.004308291421861776,train,22,0.4,1e-06,0.3676470588235294,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
46,Nan,50,0.005077423917835233,test,23,0.4,1e-06,0.3663003663003663,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
47,Nan,50,0.004315806908965792,train,23,0.4,1e-06,0.3663003663003663,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
48,Nan,50,0.004398257143062671,test,24,0.4,1e-06,0.36496350364963503,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
49,Nan,50,0.004474123947725458,train,24,0.4,1e-06,0.36496350364963503,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
50,Nan,50,0.004210025920638299,test,25,0.4,1e-06,0.36363636363636365,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
51,Nan,50,0.004109771144046514,train,25,0.4,1e-06,0.36363636363636365,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
52,Nan,50,0.0041656906266196725,test,26,0.4,1e-06,0.36231884057971014,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
53,Nan,50,0.003927266981554607,train,26,0.4,1e-06,0.36231884057971014,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
54,Nan,50,0.004283306929266505,test,27,0.4,1e-06,0.3610108303249097,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
55,Nan,50,0.0040885192010732645,train,27,0.4,1e-06,0.3610108303249097,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
56,Nan,50,0.0038009421778544368,test,28,0.4,1e-06,0.3597122302158273,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
