, pol order,accuracy,batch size,cost,data set,epoch,initial learning rate,lambda,learning rate,momentum parameter,nodes per layer,number of layers,pol order,stopping tol
0,,Nan,50,0.14495283007607418,train,0,0.3,0.0001,0.3,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
1,,Nan,50,0.15055284890059595,test,0,0.3,0.0001,0.3,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
2,,Nan,50,0.1183143169691139,train,1,0.3,0.0001,0.29910269192422734,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
3,,Nan,50,0.12362955243979315,test,1,0.3,0.0001,0.29910269192422734,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
4,,Nan,50,0.052379377936634226,train,2,0.3,0.0001,0.2982107355864811,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
5,,Nan,50,0.056092028935507764,test,2,0.3,0.0001,0.2982107355864811,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
6,,Nan,50,0.0449336085417892,train,3,0.3,0.0001,0.29732408325074333,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
7,,Nan,50,0.04625979249694828,test,3,0.3,0.0001,0.29732408325074333,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
8,,Nan,50,0.019443324309911615,train,4,0.3,0.0001,0.2964426877470356,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
9,,Nan,50,0.02059572190071916,test,4,0.3,0.0001,0.2964426877470356,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
10,,Nan,50,0.06882934774622518,train,5,0.3,0.0001,0.2955665024630542,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
11,,Nan,50,0.0705359278718369,test,5,0.3,0.0001,0.2955665024630542,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
12,,Nan,50,0.017777570709544478,train,6,0.3,0.0001,0.29469548133595286,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
13,,Nan,50,0.019491942683870427,test,6,0.3,0.0001,0.29469548133595286,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
14,,Nan,50,0.0060879489065954855,train,7,0.3,0.0001,0.29382957884427036,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
15,,Nan,50,0.006676438127136729,test,7,0.3,0.0001,0.29382957884427036,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
16,,Nan,50,0.009790740329552253,train,8,0.3,0.0001,0.29296875,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
17,,Nan,50,0.011004715934852945,test,8,0.3,0.0001,0.29296875,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
18,,Nan,50,0.021085733328241613,train,9,0.3,0.0001,0.2921129503407985,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
19,,Nan,50,0.022236118784436504,test,9,0.3,0.0001,0.2921129503407985,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
20,,Nan,50,0.005964253183190784,train,10,0.3,0.0001,0.2912621359223301,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
21,,Nan,50,0.006686521176855674,test,10,0.3,0.0001,0.2912621359223301,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
22,,Nan,50,0.004778860365775035,train,11,0.3,0.0001,0.29041626331074544,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
23,,Nan,50,0.005019732186964052,test,11,0.3,0.0001,0.29041626331074544,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
24,,Nan,50,0.006239358976941773,train,12,0.3,0.0001,0.28957528957528955,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
25,,Nan,50,0.006343925798361884,test,12,0.3,0.0001,0.28957528957528955,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
26,,Nan,50,0.004638995457346763,train,13,0.3,0.0001,0.28873917228103946,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
27,,Nan,50,0.00475934796712765,test,13,0.3,0.0001,0.28873917228103946,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
